__time,/effort_controller/commands/data[1],/joint_states/front_left_wheel_joint/effort,/joint_states/front_left_motor_joint/position,/joint_states/front_left_motor_joint/velocity
1718737790.947209,-2.0,0.0,-0.511545403,1.121469135
1718737790.948377,-2.0,0.0,-0.510403244,1.142395196
1718737790.948987,-2.0,0.0,-0.509257129,1.146316261
1718737790.950162,-2.0,0.0,-0.508113157,1.14413425
1718737790.951426,-2.0,0.0,-0.506972095,1.141179615
1718737790.952003,-2.0,0.0,-0.505833848,1.138319153
1718737790.953207,-2.0,0.0,-0.504698654,1.135226638
1718737790.954389,-2.0,0.0,-0.503566923,1.131729149
1718737790.955001,-2.0,0.0,-0.502438996,1.127898594
1718737790.956171,-2.0,0.0,-0.501315072,1.123876751
1718737790.957337,-2.0,0.0,-0.500195231,1.119781882
1718737790.957931,-2.0,0.0,-0.499079476,1.11569161
1718737790.959128,-2.0,0.0,-0.497979476,1.099865991
1718737790.960278,-2.0,0.0,-0.496749974,1.231279715
1718737790.961464,-2.0,0.0,-0.495034922,1.713498288
1718737790.96207,-2.0,0.0,-0.493803149,1.231594634
1718737790.96324,-2.0,0.0,-0.492782236,1.021192932
1718737790.964411,-2.0,0.0,-0.49175819,1.024404177
1718737790.965056,-2.0,0.0,-0.49069556,1.062959685
1718737790.966238,-2.0,0.0,-0.48961405,1.081797871
1718737790.967463,-2.0,0.0,-0.488528974,1.085321878
1718737790.96809,-2.0,0.0,-0.487444928,1.084246925
1718737790.969231,-2.0,0.0,-0.486362289,1.082791692
1718737790.970405,-2.0,0.0,-0.485281075,1.08132064
1718737790.971012,-2.0,0.0,-0.484201658,1.079482599
1718737790.972143,-2.0,0.0,-0.483124504,1.077186871
1718737790.973306,-2.0,0.0,-0.48204998,1.074533278
1718737790.974401,-2.0,0.0,-0.480978323,1.071649983
1718737790.975014,-2.0,0.0,-0.479909673,1.068632434
1718737790.976127,-2.0,0.0,-0.478844105,1.065548455
1718737790.97727,-2.0,0.0,-0.47778164,1.062447197
1718737790.978623,-2.0,0.0,-0.476722261,1.05936565
1718737790.979151,-2.0,0.0,-0.475665923,1.056331153
1718737790.980298,-2.0,0.0,-0.474612562,1.053362906
1718737790.981441,-2.0,0.0,-0.473526479,1.087629283
1718737790.982032,-2.0,0.0,-0.471921439,1.603473528
1718737790.983179,-2.0,0.0,-0.470770668,1.150644871
1718737790.984324,-2.0,0.0,-0.469806971,0.964047246
1718737790.984926,-2.0,0.0,-0.468881754,0.925525153
1718737790.98617,-2.0,0.0,-0.467959403,0.922339634
1718737790.98732,-2.0,0.0,-0.466969746,0.989409394
1718737790.988482,-2.0,0.0,-0.465946241,1.023200493
1718737790.989091,-2.0,0.0,-0.464923516,1.022465825
1718737790.990223,-2.0,0.0,-0.463908928,1.014403202
1718737790.991377,-2.0,0.0,-0.462900994,1.007821192
1718737790.992054,-2.0,0.0,-0.461898291,1.002650754
1718737790.993268,-2.0,0.0,-0.460900458,0.997820707
1718737790.994406,-2.0,0.0,-0.459906797,0.993682046
1718737790.99506,-2.0,0.0,-0.458916299,0.99053071
1718737790.996155,-2.0,0.0,-0.457929839,0.98652406
1718737790.997297,-2.0,0.0,-0.456948931,0.980955388
1718737790.998399,-2.0,0.0,-0.455972957,0.976016051
1718737790.999004,-2.0,0.0,-0.455001841,0.971142368
1718737791.000197,-2.0,0.0,-0.454035087,0.96675956
1718737791.001307,-2.0,0.0,-0.453072944,0.962127964
1718737791.002568,-2.0,0.0,-0.452114944,0.957965412
1718737791.003177,-2.0,0.0,-0.45116112,0.953772766
1718737791.004326,-2.0,0.0,-0.450143197,1.020085735
1718737791.005172,-2.0,0.0,-0.448682205,1.459235652
1718737791.006321,-2.0,0.0,-0.447660591,1.02129631
1718737791.007466,-2.0,0.0,-0.446802867,0.857869891
1718737791.008053,-2.0,0.0,-0.445933688,0.869426281
1718737791.009198,-2.0,0.0,-0.445034559,0.899409563
1718737791.010355,-2.0,0.0,-0.444122087,0.912696756
1718737791.010947,-2.0,0.0,-0.443207643,0.91464735
1718737791.012119,-2.0,0.0,-0.442293937,0.913862205
1718737791.013296,-2.0,0.0,-0.441381275,0.912750082
1718737791.014432,-2.0,0.0,-0.440470411,0.910915332
1718737791.015012,-2.0,0.0,-0.439561434,0.908970249
1718737791.016327,-2.0,0.0,-0.438655554,0.905831279
1718737791.01729,-2.0,0.0,-0.437753209,0.902262304
1718737791.018394,-2.0,0.0,-0.436854566,0.898536442
1718737791.019024,-2.0,0.0,-0.435960043,0.894400675
1718737791.020184,-2.0,0.0,-0.435069928,0.889986613
1718737791.021328,-2.0,0.0,-0.434184357,0.885439392
1718737791.021937,-2.0,0.0,-0.43322929,0.957239346
1718737791.023152,-2.0,0.0,-0.431758977,1.46841271
1718737791.024364,-2.0,0.0,-0.430805948,0.952744778
1718737791.024985,-2.0,0.0,-0.430022231,0.783891548
1718737791.026088,-2.0,0.0,-0.429215294,0.807238401
1718737791.026291,2.0,0.0,-0.429215294,0.807238401
1718737791.027265,2.0,0.0,-0.428377963,0.837630691
1718737791.028403,2.0,0.0,-0.427532572,0.845684972
1718737791.02899,2.0,0.0,-0.426673378,0.859448141
1718737791.030145,2.0,0.0,-0.425802975,0.870604991
1718737791.031362,2.0,0.0,-0.42492375,0.879371858
1718737791.031965,2.0,0.0,-0.424036942,0.886899551
1718737791.033118,2.0,0.0,-0.423143321,0.893663959
1718737791.03426,2.0,0.0,-0.422243503,0.899821953
1718737791.035461,2.0,0.0,-0.421338,0.905474951
1718737791.035946,2.0,0.0,-0.420427224,0.910728254
1718737791.037086,2.0,0.0,-0.419511483,0.915680557
1718737791.038237,2.0,0.0,-0.418591006,0.920412956
1718737791.039376,2.0,0.0,-0.41766595,0.92499243
1718737791.039954,2.0,0.0,-0.416745229,0.920574418
1718737791.041096,2.0,0.0,-0.415685192,1.062055386
1718737791.042225,2.0,0.0,-0.414166708,1.516749847
1718737791.04335,2.0,0.0,-0.413157219,1.009414017
1718737791.043941,2.0,0.0,-0.412283169,0.874423343
1718737791.045087,2.0,0.0,-0.411375552,0.908055705
1718737791.046236,2.0,0.0,-0.410434594,0.941382959
1718737791.047382,2.0,0.0,-0.409478872,0.956115997
1718737791.048012,2.0,0.0,-0.408514966,0.964254059
1718737791.049129,2.0,0.0,-0.407543927,0.971329582
1718737791.050278,2.0,0.0,-0.406566207,0.977948783
1718737791.051427,2.0,0.0,-0.405582485,0.983893236
1718737791.052098,2.0,0.0,-0.404593437,0.98916867
1718737791.053315,2.0,0.0,-0.403599611,0.993904907
1718737791.054439,2.0,0.0,-0.402647483,0.952007103
1718737791.055043,2.0,0.0,-0.40168026,0.966935286
1718737791.056184,2.0,0.0,-0.400694908,0.98503191
1718737791.057328,2.0,0.0,-0.399708111,0.9865231
1718737791.057953,2.0,0.0,-0.398721661,0.986250646
1718737791.059056,2.0,0.0,-0.397733927,0.987611026
1718737791.06022,2.0,0.0,-0.396743836,0.990036271
1718737791.061435,2.0,0.0,-0.395755856,0.987903514
1718737791.062028,2.0,0.0,-0.39470612,1.049723523
1718737791.063154,2.0,0.0,-0.393594673,1.113811813
1718737791.064302,2.0,0.0,-0.39203995,1.553104729
1718737791.065464,2.0,0.0,-0.390986354,1.053694547
1718737791.066059,2.0,0.0,-0.390043922,0.942934076
1718737791.067209,2.0,0.0,-0.389066952,0.977495547
1718737791.068353,2.0,0.0,-0.388101316,0.965880508
1718737791.068933,2.0,0.0,-0.387079265,1.022010058
1718737791.070083,2.0,0.0,-0.386024728,1.054366056
1718737791.071331,2.0,0.0,-0.384962453,1.062076797
1718737791.072543,2.0,0.0,-0.383896644,1.065623676
1718737791.073182,2.0,0.0,-0.382827354,1.069132378
1718737791.074389,2.0,0.0,-0.381755115,1.072113403
1718737791.074939,2.0,0.0,-0.380680594,1.074411603
