__time,/ground_truth/pose/pose/position/x,/ground_truth/pose/pose/position/y,/ground_truth/pose/pose/position/z,/ground_truth/pose/pose/orientation/yaw
1719597316.790157,3.631430948,0.075187324,-0.001157787,0.2307962
1719597316.791078,3.631674344,0.075256589,-0.001154465,0.230882478
1719597316.792138,3.631915628,0.075323882,-0.001152062,0.230974126
1719597316.793167,3.632155502,0.075387543,-0.001150354,0.231069203
1719597316.794296,3.632394983,0.075447077,-0.001149098,0.23116441
1719597316.795249,3.632634339,0.075503599,-0.001148137,0.231258994
1719597316.796166,3.632873646,0.075558256,-0.001147367,0.231352732
1719597316.797166,3.633112941,0.075611979,-0.001146709,0.23144552
1719597316.798081,3.633352241,0.075665471,-0.001146102,0.231537307
1719597316.799152,3.633591571,0.075719213,-0.00114549,0.231628058
1719597316.800144,3.633830955,0.075773503,-0.001144824,0.231717759
1719597316.801108,3.634070425,0.075828492,-0.001144054,0.231806406
1719597316.802177,3.634310011,0.075884215,-0.001143136,0.231894006
1719597316.803149,3.634549747,0.075940631,-0.001142024,0.231980566
1719597316.80419,3.634789661,0.075997646,-0.001140678,0.232066095
1719597316.805117,3.635029778,0.076055138,-0.001139056,0.232150599
1719597316.806156,3.635270114,0.076112976,-0.001137122,0.232234084
1719597316.807104,3.635510682,0.076171034,-0.00113484,0.232316552
1719597316.808127,3.635751486,0.076229198,-0.001132178,0.232398001
1719597316.809125,3.635992525,0.076287373,-0.001129107,0.232478432
1719597316.810122,3.636233792,0.076345484,-0.0011256,0.232557841
1719597316.811131,3.636473346,0.076407141,-0.001121826,0.232636666
1719597316.812092,3.636710177,0.076465527,-0.001118629,0.232720533
1719597316.81304,3.63694524,0.076520389,-0.001115847,0.232807657
1719597316.814086,3.63717973,0.076572143,-0.001113272,0.23289484
1719597316.815347,3.637414139,0.076622286,-0.001110767,0.232981283
1719597316.816078,3.637649949,0.076669776,-0.001108509,0.233066997
1719597316.817113,3.637888503,0.076720075,-0.00110715,0.233158
1719597316.818148,3.638128807,0.076775825,-0.00110647,0.233249227
1719597316.819085,3.638370357,0.076835774,-0.001106256,0.233340058
1719597316.82021,3.638612874,0.076898307,-0.00110636,0.23343047
1719597316.821081,3.638856171,0.076962065,-0.001106679,0.233520462
1719597316.82214,3.639100092,0.07702604,-0.001107133,0.233610006
1719597316.823144,3.639344489,0.077089545,-0.001107658,0.233699047
1719597316.824151,3.639589215,0.07715216,-0.001108191,0.233787505
1719597316.825146,3.639834128,0.077213676,-0.001108678,0.233875291
1719597316.826133,3.64007909,0.077274043,-0.001109061,0.233962315
1719597316.827072,3.640323973,0.07733332,-0.001109287,0.234048489
1719597316.828143,3.640568668,0.077391638,-0.001109303,0.234133738
1719597316.829065,3.640813082,0.077449164,-0.001109056,0.234218
1719597316.830094,3.641057144,0.077506078,-0.001108499,0.234301228
1719597316.831093,3.641300804,0.077562553,-0.001107584,0.234383391
1719597316.832129,3.641544034,0.077618743,-0.00110627,0.234464474
1719597316.833054,3.641785004,0.077678024,-0.001104712,0.234544768
1719597316.834077,3.642022769,0.077734157,-0.0011037,0.234629681
1719597316.835053,3.642258267,0.077787138,-0.001103054,0.234717608
1719597316.836051,3.642492697,0.07783746,-0.001102559,0.234805509
1719597316.837032,3.642726595,0.077886585,-0.00110207,0.234892641
1719597316.838234,3.642960254,0.07793582,-0.001101491,0.234978983
1719597316.83908,3.643193902,0.077986033,-0.001100756,0.235064602
1719597316.840105,3.643427741,0.078037707,-0.001099813,0.235149564
1719597316.841041,3.643661949,0.07809103,-0.001098622,0.235233934
1719597316.842106,3.64389792,0.07814348,-0.0010974,0.235317839
1719597316.843122,3.644136939,0.078199438,-0.001096826,0.235407224
1719597316.844137,3.644377986,0.078260788,-0.001096701,0.23549712
1719597316.845101,3.644620538,0.078325811,-0.001096826,0.235586909
1719597316.846212,3.644864264,0.078392607,-0.001097067,0.235676503
1719597316.847155,3.645108881,0.078459741,-0.001097329,0.235765876
1719597316.848085,3.645354191,0.078526153,-0.001097546,0.23585489
1719597316.849169,3.645599992,0.078591263,-0.001097661,0.235943493
1719597316.850134,3.645846079,0.078654784,-0.001097623,0.236031576
