__time,/effort_controller/commands/data[1],/joint_states/front_left_motor_joint/position
1718737782.693288,-2.0,-0.011060452
1718737782.693889,-2.0,-0.011078556
1718737782.695091,-2.0,-0.011094507
1718737782.696275,-2.0,-0.011108436
1718737782.696964,-2.0,-0.011120495
1718737782.698101,-2.0,-0.011130845
1718737782.699275,-2.0,-0.011139651
1718737782.699901,-2.0,-0.011147077
1718737782.701065,-2.0,-0.011153286
1718737782.702306,-2.0,-0.011158439
1718737782.702948,-2.0,-0.011162694
1718737782.704165,-2.0,-0.0111662
1718737782.70534,-2.0,-0.011169101
1718737782.706056,-2.0,-0.011171525
1718737782.707178,-2.0,-0.011177428
1718737782.708348,-2.0,-0.011176274
1718737782.708926,-2.0,-0.011174318
1718737782.710077,-2.0,-0.011171558
